asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category,isBestSeller,boughtInLastMonth
B08HHKKKCD,"Bosttor Bluetooth Beanie Hat with Light, Headlamp Cap with Headphones and Built-in Speaker Mic, Gifts for Men Women Teen",https://m.media-amazon.com/images/I/71ogJOykTsL._AC_UL320_.jpg,https://www.amazon.com/dp/B08HHKKKCD,4.5,2342,31.99,0,Headphones & Earbuds,FALSE,0
B0C9WGMMD4,Squishmallow Scarlet Strawberry Plush Wired Headphones,https://m.media-amazon.com/images/I/510gKm9TGQL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C9WGMMD4,0,0,27.5,0,Headphones & Earbuds,FALSE,0
B0CJ1CGV4J,"iJoy Wireless Over-Ear Bluetooth Headphones - Wireless and Wired Foldable Headset with Built-in Microphone, FM, Micro SD Card Slot, Touch Controls - Audifonos Auriculares Inalambricos (White)",https://m.media-amazon.com/images/I/61hqenFboNL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CJ1CGV4J,0,0,12.99,0,Headphones & Earbuds,FALSE,0
B00NLLKRVC,Yurbuds Signature Series ITX-1000 In-Ear Headphones,https://m.media-amazon.com/images/I/61J1Dd6zAvL._AC_UL320_.jpg,https://www.amazon.com/dp/B00NLLKRVC,4.2,95,69.69,0,Headphones & Earbuds,FALSE,0
B0BL8VKXTT,"AUOUA Life On Music Wireless Bluetooth Headphones with Mic, Over Ear Headset with Microphone for PC, Lightweight Wired Headphone for iPad PC Laptop, Black",https://m.media-amazon.com/images/I/710BGOaevDL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BL8VKXTT,4,29,15.39,16.69,Headphones & Earbuds,FALSE,0
B07YYNCHZF,"LG Tone Pro HBS-770 Behind-The-Neck in-Ear Earbuds Headphones Wireless Neckband Stereo Headset, Black (Non-Retail Packaging) (Renewed)",https://m.media-amazon.com/images/I/71sF7XKpMXL._AC_UL320_.jpg,https://www.amazon.com/dp/B07YYNCHZF,3.3,14,64.99,0,Headphones & Earbuds,FALSE,0
B07BDQGSWW,"Plantronics BackBeat GO 600 Noise-Isolating Headphones, Over-The-Ear Bluetooth Headphones, Navy (211139-99)",https://m.media-amazon.com/images/I/61yxUb8vdFL._AC_UL320_.jpg,https://www.amazon.com/dp/B07BDQGSWW,4.2,1086,29.29,0,Headphones & Earbuds,FALSE,0
B06Y4MR1MB,"Wicked Audio Bandido Wireless — Bluetooth Earbuds with Microphone and Track Control — Wireless Headset with Metal Housing, Loop and Fin Attachments and Enhanced Bass — Black",https://m.media-amazon.com/images/I/51nxjxVNuWL._AC_UL320_.jpg,https://www.amazon.com/dp/B06Y4MR1MB,4.1,77,29.99,0,Headphones & Earbuds,FALSE,0
B0BHN8NZ4G,"Sleep Headphones Bluetooth Headband Wireless - Upgraded Ergonomic ASMR Headphone Cool Gadget, Soft Sleeping Mask Music Sport Headband, Sleep headphones Gifts for Men Women Side Sleeper (Black)",https://m.media-amazon.com/images/I/81RUhcmtx7L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BHN8NZ4G,3.9,175,12.99,0,Headphones & Earbuds,FALSE,0
B0C65J8N4P,"BORAYDA Bluetooth Headband, HD Stereo, Built-in Microphone, Workout, Running, Sports, Men/Women Gift",https://m.media-amazon.com/images/I/71BDtsnsTxL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C65J8N4P,4.5,36,22.99,0,Headphones & Earbuds,FALSE,0
